MainLocation;SubLocation
Hillsborough County;Tampa
Hillsborough County;Brandon
Hillsborough County;Riverview
Hillsborough County;Carrollwood
Hillsborough County;Temple Terrace
Hillsborough County;FishHawk
Hillsborough County;Bloomingdale
Hillsborough County;Progress Village
Hillsborough County;Seffner
Hillsborough County;Dover
Hillsborough County;Westchase
Hillsborough County;Valrico
Hillsborough County;Palm River-Clair Mel
Hillsborough County;Ruskin
Hillsborough County;Apollo Beach
Pinellas County;Largo
Pinellas County;Clearwater
Pinellas County;Pinellas Park
Pinellas County;St. Petersburg
Pasco County;Wesley Chapel
Pasco County;Land O' Lakes
Pasco County;Lutz
Pasco County;Zephyrhills
Tampa;Downtown
Tampa;Ybor City
Tampa;West Tampa
Tampa;South Tampa
St. Petersburg;Downtown
St. Petersburg;Kenwood
St. Petersburg;Snell Isle
St. Petersburg;Shore Acres
Clearwater;Downtown
Clearwater;Countryside
Clearwater;Clearwater Beach
Largo;Downtown
Largo;Highland Park
